"","logFC","logCPM","F","PValue","FDR"
"ENSMUSG00000033295.15",2.43372242957217,7.11552758055398,271.746663874848,4.44403356741354e-06,0.00057090628560828
"ENSMUSG00000028597.12",3.43408368290826,3.64032375953318,271.70369127558,4.44602759636143e-06,0.00057090628560828
"ENSMUSG00000034591.6",2.38995334979979,5.60036250124078,271.218634846521,4.46861910325001e-06,0.00057090628560828
"ENSMUSG00000073411.13",2.018796553945,7.15225499792602,270.826540814899,4.4869939661809e-06,0.00057090628560828
"ENSMUSG00000020263.15",-2.83265962304138,6.97160050262696,270.451961680869,4.50464314428583e-06,0.00057090628560828
"ENSMUSG00000028518.9",2.41309587511748,4.43422703722242,269.904378012156,4.53061240270425e-06,0.00057090628560828
"ENSMUSG00000062380.5",3.19777592485501,4.9847087802807,269.270814358563,4.56091139681838e-06,0.00057090628560828
"ENSMUSG00000020950.11",-3.54185691187193,3.67718489693718,268.96101135457,4.57582648323793e-06,0.00057090628560828
"ENSMUSG00000063727.4",4.27825941868918,7.57296514644006,268.622528944969,4.59219746005291e-06,0.00057090628560828
"ENSMUSG00000039457.5",-2.36205102319043,7.87118937769315,267.380606029249,4.65294392965257e-06,0.00057090628560828
"ENSMUSG00000042751.15",-2.5604896214718,4.92410469358714,266.79021553753,4.68220143885207e-06,0.00057090628560828
"ENSMUSG00000038521.18",-2.54193183539588,6.50728298009139,266.139439431171,4.71473910157877e-06,0.00057090628560828
"ENSMUSG00000023905.16",2.18984251331339,6.91924650296161,265.199356392936,4.76228126909737e-06,0.00057090628560828
"ENSMUSG00000020376.18",3.49847072260815,3.10644112093398,264.949966762958,4.77500171273327e-06,0.00057090628560828
"ENSMUSG00000061232.17",1.93702260425816,6.23193445176841,263.870094837484,4.8306129546747e-06,0.00057090628560828
"ENSMUSG00000021281.16",4.04840149798937,5.26546167922036,263.83271107501,4.83255372141002e-06,0.00057090628560828
"ENSMUSG00000024548.12",2.50377000194817,5.37796884867866,263.085852746993,4.87154757988373e-06,0.00057090628560828
"ENSMUSG00000001349.6",9.33641696409373,5.29296789839822,263.062764767954,4.87275975345142e-06,0.00057090628560828
"ENSMUSG00000028179.13",4.96304137753091,2.32535328232956,262.559216768771,4.89929851673269e-06,0.00057090628560828
"ENSMUSG00000031661.13",4.58076992123277,2.57227593172803,259.948094619456,5.04008089228871e-06,0.000583204325347561
"ENSMUSG00000030774.14",2.07473428364051,5.512349619681,259.010296476746,5.09197222321958e-06,0.000585117113733433
"ENSMUSG00000032625.15",2.02892230101562,7.06716573649599,257.035983134874,5.20359170853495e-06,0.000593819531042261
"ENSMUSG00000036661.15",-3.46498348955441,4.83030262859849,256.303761449003,5.24582563757555e-06,0.000594538882362758
