"","ENSEMBL","ENTREZID"
"580","ENSMUSG00000063882","66576"
"581","ENSMUSG00000097290","100043489"
"582","ENSMUSG00000063838","58804"
"583","ENSMUSG00000028843","73723"
"584","ENSMUSG00000028042","22724"
"585","ENSMUSG00000005107","117591"
"586","ENSMUSG00000047139","12484"
"589","ENSMUSG00000041362","71653"
"590","ENSMUSG00000091387","218476"
"591","ENSMUSG00000038264","20361"
"592","ENSMUSG00000027907","20195"
"593","ENSMUSG00000024597","20496"
"594","ENSMUSG00000052917","66315"
"595","ENSMUSG00000015766","13860"
"596","ENSMUSG00000035783","11475"
"597","ENSMUSG00000018986","20557"
"598","ENSMUSG00000075701","109815"
"599","ENSMUSG00000022797","22042"
"600","ENSMUSG00000029816","93695"
"601","ENSMUSG00000032006","71785"
"602","ENSMUSG00000021835","12159"
"603","ENSMUSG00000074968","228432"
"604","ENSMUSG00000050931","74442"
"605","ENSMUSG00000041343","73845"
"606","ENSMUSG00000004032","14866"
"607","ENSMUSG00000048330","320360"
"608","ENSMUSG00000055116","11865"
"609","ENSMUSG00000029735","29807"
"610","ENSMUSG00000036053","71409"
"611","ENSMUSG00000046671","76824"
"612","ENSMUSG00000036908","54445"
"613","ENSMUSG00000026579","14067"
"614","ENSMUSG00000034926","74754"
"615","ENSMUSG00000070691","12399"
"616","ENSMUSG00000030103","20893"
"617","ENSMUSG00000035042","20304"
"618","ENSMUSG00000034570","170835"
"619","ENSMUSG00000025403","108037"
"620","ENSMUSG00000024087","13078"
"621","ENSMUSG00000030218","17313"
"622","ENSMUSG00000024665","56473"
"623","ENSMUSG00000014776","78688"
"624","ENSMUSG00000029121","12933"
"625","ENSMUSG00000027799","26422"
"626","ENSMUSG00000075707","107585"
"627","ENSMUSG00000102543","93708"
"628","ENSMUSG00000031937","69137"
"629","ENSMUSG00000034220","14733"
"630","ENSMUSG00000000782","21414"
"631","ENSMUSG00000068876","70737"
"632","ENSMUSG00000092981","100628593"
"633","ENSMUSG00000097068","105246020"
"634","ENSMUSG00000049536","237052"
"635","ENSMUSG00000040254","108151"
"636","ENSMUSG00000024795","240641"
"637","ENSMUSG00000034731","380921"
"638","ENSMUSG00000103472","93715"
"639","ENSMUSG00000028830","100317"
"640","ENSMUSG00000050212","230752"
"641","ENSMUSG00000073771","78611"
"642","ENSMUSG00000037553","503610"
"643","ENSMUSG00000067377","56496"
"644","ENSMUSG00000003865","14936"
"645","ENSMUSG00000031283","83453"
"646","ENSMUSG00000031202","67790"
"648","ENSMUSG00000032841","72446"
"649","ENSMUSG00000031841","12554"
"650","ENSMUSG00000055723","66922"
"651","ENSMUSG00000015659","321007"
"652","ENSMUSG00000027805","18645"
"653","ENSMUSG00000068739","20226"
"654","ENSMUSG00000096929","320977"
"655","ENSMUSG00000030718","72590"
"656","ENSMUSG00000036136","104943"
"657","ENSMUSG00000015882","209707"
"658","ENSMUSG00000015882","100041576"
"659","ENSMUSG00000075256","228094"
"660","ENSMUSG00000024912","14283"
"661","ENSMUSG00000007805","13345"
"662","ENSMUSG00000026193","14268"
"663","ENSMUSG00000026213","71728"
"664","ENSMUSG00000032846","67263"
"665","ENSMUSG00000037685","11980"
"666","ENSMUSG00000041354","19732"
"667","ENSMUSG00000052854","27206"
"668","ENSMUSG00000078771","14017"
"669","ENSMUSG00000029651","77521"
"670","ENSMUSG00000028673","71665"
"671","ENSMUSG00000043943","72560"
"672","ENSMUSG00000074671","241732"
"673","ENSMUSG00000028648","595136"
"674","ENSMUSG00000039813","381605"
"675","ENSMUSG00000057596","209387"
"676","ENSMUSG00000026941","381352"
